"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1095","test_ui_002","tests","Tue May 26 09:36:54 UTC 2026","passed","Tue May 26 09:36:56 UTC 2026","TestUI","test_ui","",""
"","1065","test_cart_007","tests","Tue May 26 09:34:54 UTC 2026","passed","Tue May 26 09:34:55 UTC 2026","TestCart","test_cart","",""
"","524","test_ui_001","tests","Tue May 26 09:36:51 UTC 2026","passed","Tue May 26 09:36:52 UTC 2026","TestUI","test_ui","",""
"","2294","test_auth_003_004_005_006_007_008[False-fake_user-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:11 UTC 2026","passed","Tue May 26 09:34:14 UTC 2026","TestAuth","test_auth","",""
"","2286","test_auth_003_004_005_006_007_008[True-' OR '1'='1-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:22 UTC 2026","passed","Tue May 26 09:34:25 UTC 2026","TestAuth","test_auth","",""
"","2226","test_ui_007","tests","Tue May 26 09:37:00 UTC 2026","passed","Tue May 26 09:37:02 UTC 2026","TestUI","test_ui","",""
"","3927","test_check_005","tests","Tue May 26 09:36:13 UTC 2026","passed","Tue May 26 09:36:17 UTC 2026","TestCheckout","test_e2e","",""
"","3386","test_check_003","tests","Tue May 26 09:36:02 UTC 2026","passed","Tue May 26 09:36:05 UTC 2026","TestCheckout","test_e2e","",""
"","2319","test_ui_003","tests","Tue May 26 09:36:56 UTC 2026","passed","Tue May 26 09:36:58 UTC 2026","TestUI","test_ui","",""
"","531","test_inv_007","tests","Tue May 26 09:36:37 UTC 2026","passed","Tue May 26 09:36:38 UTC 2026","TestInventory","test_inventory","",""
"","551","test_ui_010","tests","Tue May 26 09:37:10 UTC 2026","passed","Tue May 26 09:37:11 UTC 2026","TestUI","test_ui","",""
"","19","test_inv_002","tests","Tue May 26 09:36:22 UTC 2026","passed","Tue May 26 09:36:22 UTC 2026","TestInventory","test_inventory","",""
"","18","test_inv_004","tests","Tue May 26 09:36:28 UTC 2026","passed","Tue May 26 09:36:28 UTC 2026","TestInventory","test_inventory","",""
"","2304","test_auth_003_004_005_006_007_008[True-1 AND (SELECT COUNT(*) FROM users WHERE id=5)=1-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:28 UTC 2026","passed","Tue May 26 09:34:31 UTC 2026","TestAuth","test_auth","",""
"","3693","test_check_005","tests","Tue May 26 09:35:32 UTC 2026","passed","Tue May 26 09:35:36 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","4763","test_check_010","tests","Tue May 26 09:35:50 UTC 2026","passed","Tue May 26 09:35:55 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","20","test_ui_009","tests","Tue May 26 09:37:08 UTC 2026","passed","Tue May 26 09:37:08 UTC 2026","TestUI","test_ui","",""
"","525","test_cart_003","tests","Tue May 26 09:34:44 UTC 2026","passed","Tue May 26 09:34:44 UTC 2026","TestCart","test_cart","",""
"","531","test_inv_006","tests","Tue May 26 09:36:34 UTC 2026","passed","Tue May 26 09:36:34 UTC 2026","TestInventory","test_inventory","",""
"","6537","test_check_004","tests","Tue May 26 09:36:06 UTC 2026","passed","Tue May 26 09:36:12 UTC 2026","TestCheckout","test_e2e","",""
"","2298","test_auth_003_004_005_006_007_008[True-standard_user--Epic sadface: Password is required]","tests","Tue May 26 09:34:17 UTC 2026","passed","Tue May 26 09:34:19 UTC 2026","TestAuth","test_auth","",""
"","735","test_auth_009","tests","Tue May 26 09:34:04 UTC 2026","passed","Tue May 26 09:34:05 UTC 2026","TestAuth","test_auth","",""
"","3","test_inv_001","tests","Tue May 26 09:36:19 UTC 2026","passed","Tue May 26 09:36:19 UTC 2026","TestInventory","test_inventory","",""
"","2833","test_check_002","tests","Tue May 26 09:35:58 UTC 2026","passed","Tue May 26 09:36:01 UTC 2026","TestCheckout","test_e2e","",""
"","572","test_cart_008","tests","Tue May 26 09:34:58 UTC 2026","passed","Tue May 26 09:34:58 UTC 2026","TestCart","test_cart","",""
"","1100","test_cart_009","tests","Tue May 26 09:35:01 UTC 2026","passed","Tue May 26 09:35:02 UTC 2026","TestCart","test_cart","",""
"","2296","test_auth_002_valid_users[problem_user]","tests","Tue May 26 09:33:53 UTC 2026","passed","Tue May 26 09:33:56 UTC 2026","TestAuth","test_auth","",""
"","2274","test_auth_003_004_005_006_007_008[True-<script>alert(1)</script>-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:31 UTC 2026","passed","Tue May 26 09:34:33 UTC 2026","TestAuth","test_auth","",""
"","7123","test_cart_010","tests","Tue May 26 09:35:03 UTC 2026","passed","Tue May 26 09:35:10 UTC 2026","TestCart","test_cart","",""
"","2262","test_auth_002","tests","Tue May 26 09:33:51 UTC 2026","passed","Tue May 26 09:33:53 UTC 2026","TestAuth","test_auth","",""
"","530","test_inv_005","tests","Tue May 26 09:36:30 UTC 2026","passed","Tue May 26 09:36:31 UTC 2026","TestInventory","test_inventory","",""
"","2619","test_auth_003_004_005_006_007_008[True-1 UNION SELECT username, password FROM users-any-Epic sadface: Username and password do not match any user in this service]","tests","Tue May 26 09:34:25 UTC 2026","passed","Tue May 26 09:34:28 UTC 2026","TestAuth","test_auth","",""
"","7326","test_auth_002_valid_users[performance_glitch_user]","tests","Tue May 26 09:33:56 UTC 2026","passed","Tue May 26 09:34:04 UTC 2026","TestAuth","test_auth","",""
"","3682","test_check_003","tests","Tue May 26 09:35:19 UTC 2026","passed","Tue May 26 09:35:23 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","523","test_cart_001","tests","Tue May 26 09:34:36 UTC 2026","passed","Tue May 26 09:34:37 UTC 2026","TestCart","test_cart","",""
"","525","test_cart_006","tests","Tue May 26 09:34:51 UTC 2026","passed","Tue May 26 09:34:51 UTC 2026","TestCart","test_cart","",""
"","2177","test_check_006","tests","Tue May 26 09:35:38 UTC 2026","passed","Tue May 26 09:35:41 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","3684","test_check_004","tests","Tue May 26 09:35:26 UTC 2026","passed","Tue May 26 09:35:29 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","3684","test_check_002","tests","Tue May 26 09:35:13 UTC 2026","passed","Tue May 26 09:35:16 UTC 2026","TestCheckoutValidation","test_checkout","",""
"","22","test_inv_003","tests","Tue May 26 09:36:25 UTC 2026","passed","Tue May 26 09:36:25 UTC 2026","TestInventory","test_inventory","",""
